import time: self [us] | cumulative | imported package
import time:      1360 |       1360 |                       _cffi_backend
import time:      3316 |       4858 |                     cryptography.hazmat.bindings._rust
import time:       128 |       4986 |                   cryptography.exceptions
import time:       108 |        108 |                   cryptography.hazmat.backends
import time:       124 |        124 |                   cryptography.hazmat.primitives
import time:    641970 |     641970 |                   cryptography.hazmat.primitives.hashes
import time:       193 |        193 |                   cryptography.hazmat.primitives.hmac
import time:   1361454 |    1361454 |                     cryptography.hazmat.primitives._serialization
import time:   1410188 |    1410188 |                     cryptography.hazmat.primitives.serialization.base
import time:       390 |        390 |                       cryptography.hazmat.primitives.asymmetric
import time:       677 |        677 |                         cryptography.hazmat.primitives.asymmetric.utils
import time:   1348284 |    1348961 |                       cryptography.hazmat.primitives.asymmetric.dsa
import time:   3036439 |    3036439 |                         cryptography.hazmat._oid
import time:      1087 |    3037525 |                       cryptography.hazmat.primitives.asymmetric.ec
import time:   2341476 |    2341476 |                       cryptography.hazmat.primitives.asymmetric.ed25519
